iter	Passed	Remaining
1134	15946	5128
1135	15964	5115
1136	15979	5101
1137	15999	5089
1138	16023	5078
1139	16053	5069
1140	16078	5058
1141	16095	5045
1142	16110	5031
1143	16127	5018
1144	16144	5005
1145	16164	4993
1146	16188	4982
1147	16230	4976
1148	16262	4968
1149	16288	4957
1150	16304	4943
1151	16321	4930
1152	16340	4917
1153	16355	4903
1154	16374	4891
1155	16398	4879
1156	16425	4869
1157	16458	4860
1158	16483	4849
1159	16499	4836
1160	16513	4821
1161	16527	4807
1162	16544	4794
1163	16559	4780
1164	16572	4765
1165	16594	4753
1166	16637	4747
1167	16668	4738
1168	16691	4726
1169	16710	4713
1170	16729	4700
1171	16748	4687
1172	16768	4674
1173	16786	4661
1174	16803	4647
1175	16824	4635
1176	16853	4625
1177	16875	4612
1178	16901	4601
1179	16919	4588
1180	16935	4574
1181	16950	4560
1182	16966	4546
1183	16981	4532
1184	17001	4519
1185	17020	4506
1186	17038	4492
1187	17067	4482
1188	17089	4470
1189	17113	4458
1190	17127	4443
1191	17146	4430
1192	17162	4416
1193	17178	4402
1194	17195	4388
1195	17214	4375
1196	17232	4362
1197	17264	4352
1198	17295	4342
1199	17323	4330
1200	17344	4317
1201	17357	4303
1202	17372	4289
1203	17388	4274
1204	17403	4260
1205	17416	4245
1206	17430	4231
1207	17445	4216
1208	17465	4203
1209	17485	4190
1210	17504	4177
1211	17525	4164
1212	17545	4151
1213	17558	4136
1214	17575	4122
1215	17593	4108
1216	17619	4097
1217	17636	4083
1218	17651	4068
1219	17676	4056
1220	17693	4043
1221	17718	4030
1222	17744	4019
1223	17765	4006
1224	17786	3992
1225	17801	3978
1226	17816	3964
1227	17831	3949
1228	17847	3935
1229	17873	3923
1230	17903	3912
1231	17928	3900
1232	17956	3888
1233	17973	3874
1234	17991	3860
1235	18004	3845
1236	18021	3831
1237	18038	3817
1238	18058	3804
1239	18072	3789
1240	18090	3775
1241	18111	3762
1242	18123	3747
1243	18141	3733
1244	18159	3719
1245	18171	3704
1246	18182	3689
1247	18194	3673
1248	18208	3659
1249	18219	3643
1250	18231	3628
1251	18247	3614
1252	18269	3601
1253	18289	3587
1254	18307	3573
1255	18326	3560
1256	18346	3546
1257	18363	3532
1258	18378	3517
1259	18390	3502
1260	18403	3488
1261	18416	3473
1262	18433	3459
1263	18447	3444
1264	18465	3430
1265	18484	3416
1266	18503	3402
1267	18518	3388
1268	18540	3374
1269	18559	3361
1270	18573	3346
1271	18586	3331
1272	18600	3316
1273	18612	3301
1274	18624	3286
1275	18637	3271
1276	18650	3256
1277	18664	3242
1278	18682	3228
1279	18701	3214
1280	18723	3201
1281	18740	3186
1282	18760	3173
1283	18775	3158
1284	18789	3143
1285	18806	3129
1286	18823	3115
1287	18838	3100
1288	18853	3086
1289	18868	3071
1290	18892	3058
1291	18914	3045
1292	18938	3031
1293	18954	3017
1294	18980	3004
1295	18994	2989
1296	19009	2975
1297	19023	2960
1298	19037	2945
1299	19051	2930
1300	19066	2916
1301	19081	2901
1302	19098	2887
1303	19112	2872
1304	19132	2858
1305	19151	2844
1306	19173	2831
1307	19197	2817
1308	19213	2803
1309	19225	2788
1310	19240	2773
1311	19252	2758
1312	19264	2743
1313	19277	2728
1314	19292	2714
1315	19311	2700
1316	19338	2687
1317	19355	2672
1318	19375	2658
1319	19399	2645
1320	19413	2630
1321	19426	2615
1322	19442	2601
1323	19455	2586
1324	19470	2571
1325	19482	2556
1326	19493	2541
1327	19510	2526
1328	19527	2512
1329	19549	2498
1330	19574	2485
1331	19591	2470
1332	19606	2456
1333	19621	2441
1334	19636	2426
1335	19651	2412
1336	19668	2397
1337	19683	2383
1338	19696	2368
1339	19716	2354
1340	19732	2339
1341	19753	2325
1342	19771	2311
1343	19794	2297
1344	19815	2283
1345	19828	2268
1346	19841	2253
1347	19856	2238
1348	19869	2224
1349	19880	2208
1350	19896	2194
1351	19913	2179
1352	19928	2165
1353	19946	2150
1354	19963	2136
1355	19984	2122
1356	20000	2107
1357	20021	2093
1358	20039	2079
1359	20053	2064
1360	20070	2049
1361	20083	2034
1362	20099	2020
1363	20114	2005
1364	20136	1991
1365	20161	1977
1366	20179	1963
1367	20197	1948
1368	20220	1934
1369	20237	1920
1370	20252	1905
1371	20267	1890
1372	20281	1876
1373	20296	1861
1374	20312	1846
1375	20326	1831
1376	20339	1816
1377	20354	1802
1378	20373	1787
1379	20391	1773
1380	20410	1758
1381	20430	1744
1382	20451	1730
1383	20467	1715
1384	20479	1700
1385	20494	1685
1386	20506	1670
1387	20522	1656
1388	20536	1641
1389	20552	1626
1390	20568	1611
1391	20587	1597
1392	20606	1582
1393	20630	1568
1394	20651	1554
1395	20671	1539
1396	20687	1525
1397	20701	1510
1398	20713	1495
1399	20724	1480
1400	20739	1465
1401	20752	1450
1402	20774	1436
1403	20795	1421
1404	20816	1407
1405	20838	1393
1406	20858	1378
1407	20871	1363
1408	20888	1349
1409	20901	1334
1410	20914	1319
1411	20928	1304
1412	20942	1289
1413	20954	1274
1414	20965	1259
1415	20985	1244
1416	21008	1230
1417	21027	1215
1418	21048	1201
1419	21065	1186
1420	21077	1171
1421	21089	1156
1422	21102	1141
1423	21113	1126
1424	21128	1112
1425	21142	1097
1426	21158	1082
1427	21173	1067
1428	21194	1053
1429	21211	1038
1430	21233	1023
1431	21258	1009
1432	21275	994
1433	21290	979
1434	21329	966
1435	21348	951
1436	21364	936
1437	21379	921
1438	21406	907
1439	21423	892
1440	21441	877
1441	21459	863
1442	21482	848
1443	21500	833
1444	21512	818
1445	21525	803
1446	21540	788
1447	21552	773
1448	21567	759
1449	21583	744
1450	21598	729
1451	21614	714
1452	21638	699
1453	21654	685
1454	21677	670
1455	21698	655
1456	21713	640
1457	21726	625
1458	21740	610
1459	21756	596
1460	21769	581
1461	21784	566
1462	21801	551
1463	21818	536
1464	21833	521
1465	21855	506
1466	21879	492
1467	21902	477
1468	21916	462
1469	21930	447
1470	21943	432
1471	21956	417
1472	21971	402
1473	21987	387
1474	22002	372
1475	22029	358
1476	22045	343
1477	22070	328
1478	22093	313
1479	22122	298
1480	22138	284
1481	22154	269
1482	22172	254
1483	22185	239
1484	22198	224
1485	22212	209
1486	22230	194
1487	22251	179
1488	22271	164
1489	22296	149
1490	22315	134
1491	22330	119
1492	22344	104
1493	22359	89
1494	22374	74
1495	22391	59
1496	22406	44
1497	22421	29
1498	22441	14
1499	22480	0
